[Tue Jun 19 14:08:52 2018] [8236] /: D:/openServer/domains/catss/./classes/site.p(639:44): 'SELECT id FROM menus WHERE mainpage=1' No database selected [sql.execute] [uri=/, method=GET, cl=0]
[Tue Jun 19 14:09:02 2018] [8364] /: D:/openServer/domains/catss/./classes/site.p(639:44): 'SELECT id FROM menus WHERE mainpage=1' No database selected [sql.execute] [uri=/, method=GET, cl=0]
[Tue Jun 19 14:11:59 2018] [6384] /: D:/openServer/domains/catss/./classes/site.p(643:44): 'SELECT id FROM menus WHERE mainpage=1' No database selected [sql.execute] [uri=/, method=GET, cl=0]
[Tue Jun 19 14:12:00 2018] [10556] /: D:/openServer/domains/catss/./classes/site.p(643:44): 'SELECT id FROM menus WHERE mainpage=1' No database selected [sql.execute] [uri=/, method=GET, cl=0]
[Tue Jun 19 14:12:00 2018] [10472] /: D:/openServer/domains/catss/./classes/site.p(643:44): 'SELECT id FROM menus WHERE mainpage=1' No database selected [sql.execute] [uri=/, method=GET, cl=0]
[Tue Jun 19 14:12:00 2018] [6212] /: D:/openServer/domains/catss/./classes/site.p(643:44): 'SELECT id FROM menus WHERE mainpage=1' No database selected [sql.execute] [uri=/, method=GET, cl=0]
[Tue Jun 19 14:12:00 2018] [11200] /: D:/openServer/domains/catss/./classes/site.p(643:44): 'SELECT id FROM menus WHERE mainpage=1' No database selected [sql.execute] [uri=/, method=GET, cl=0]
[Tue Jun 19 14:12:00 2018] [10608] /: D:/openServer/domains/catss/./classes/site.p(643:44): 'SELECT id FROM menus WHERE mainpage=1' No database selected [sql.execute] [uri=/, method=GET, cl=0]
[Tue Jun 19 14:12:00 2018] [5340] /: D:/openServer/domains/catss/./classes/site.p(643:44): 'SELECT id FROM menus WHERE mainpage=1' No database selected [sql.execute] [uri=/, method=GET, cl=0]
[Tue Jun 19 14:12:00 2018] [7532] /: D:/openServer/domains/catss/./classes/site.p(643:44): 'SELECT id FROM menus WHERE mainpage=1' No database selected [sql.execute] [uri=/, method=GET, cl=0]
