[[ue Tun 19 11:49:45 2018] [10068] /5 D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://:@[/var/run/mysqld/mysqld.sock]/?charset=utf8' undefined protocol 'mysql' [parser.runtime2] ur: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://:@[/var/run/mysqld/mysqld.sock]/?charset=utf8' undefined protocol 'mysql' [parser.runtimei=/, i=/, method=GET, c
l=0]
[Tue Jun 19 12:28:20 2018] [10392] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'D:\openServer\domains\catss\cgi-bin/lib/libparser3mysql.so' не является приложением Win32. [<no type>] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:28:21 2018] [4576] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'D:\openServer\domains\catss\cgi-bin/lib/libparser3mysql.so' не является приложением Win32. [<no type>] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:28:41 2018] [3108] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://****@[/var/run/mysqld/mysqld.sock]/?charset=utf8' Access denied for user 'ODBC'@'localhost' (using password: NO) [sql.connect] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:28:43 2018] [7512] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://****@[/var/run/mysqld/mysqld.sock]/?charset=utf8' Access denied for user 'ODBC'@'localhost' (using password: NO) [sql.connect] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:28:43 2018] [9748] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://****@[/var/run/mysqld/mysqld.sock]/?charset=utf8' Access denied for user 'ODBC'@'localhost' (using password: NO) [sql.connect] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:28:44 2018] [7828] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://****@[/var/run/mysqld/mysqld.sock]/?charset=utf8' Access denied for user 'ODBC'@'localhost' (using password: NO) [sql.connect] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:28:44 2018] [6980] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://****@[/var/run/mysqld/mysqld.sock]/?charset=utf8' Access denied for user 'ODBC'@'localhost' (using password: NO) [sql.connect] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:28:44 2018] [7056] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://****@[/var/run/mysqld/mysqld.sock]/?charset=utf8' Access denied for user 'ODBC'@'localhost' (using password: NO) [sql.connect] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:28:44 2018] [8176] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://****@[/var/run/mysqld/mysqld.sock]/?charset=utf8' Access denied for user 'ODBC'@'localhost' (using password: NO) [sql.connect] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:28:44 2018] [8336] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://****@[/var/run/mysqld/mysqld.sock]/?charset=utf8' Access denied for user 'ODBC'@'localhost' (using password: NO) [sql.connect] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:29:26 2018] [7280] /: D:\openServer\domains\catss\cgi-bin/auto.p(91:81): syntax error, unexpected BAD_METHOD_DECL_START, expecting ';' or '}' [parser.compile] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:29:27 2018] [8212] /: D:\openServer\domains\catss\cgi-bin/auto.p(91:81): syntax error, unexpected BAD_METHOD_DECL_START, expecting ';' or '}' [parser.compile] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:29:37 2018] [9572] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://****@[/var/run/mysqld/mysqld.sock]/?charset=utf8' Access denied for user 'ODBC'@'localhost' (using password: NO) [sql.connect] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:31:02 2018] [10852] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://****@[/var/run/mysqld/mysqld.sock]/?charset=utf8' Access denied for user 'ODBC'@'localhost' (using password: NO) [sql.connect] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:31:02 2018] [5292] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://****@[/var/run/mysqld/mysqld.sock]/?charset=utf8' Access denied for user 'ODBC'@'localhost' (using password: NO) [sql.connect] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:31:03 2018] [7756] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://****@[/var/run/mysqld/mysqld.sock]/?charset=utf8' Access denied for user 'ODBC'@'localhost' (using password: NO) [sql.connect] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:31:03 2018] [2932] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://****@[/var/run/mysqld/mysqld.sock]/?charset=utf8' Access denied for user 'ODBC'@'localhost' (using password: NO) [sql.connect] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:31:03 2018] [828] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://****@[/var/run/mysqld/mysqld.sock]/?charset=utf8' Access denied for user 'ODBC'@'localhost' (using password: NO) [sql.connect] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:31:03 2018] [4080] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://****@[/var/run/mysqld/mysqld.sock]/?charset=utf8' Access denied for user 'ODBC'@'localhost' (using password: NO) [sql.connect] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:31:04 2018] [10020] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://****@[/var/run/mysqld/mysqld.sock]/?charset=utf8' Access denied for user 'ODBC'@'localhost' (using password: NO) [sql.connect] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:31:04 2018] [4212] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://****@[/var/run/mysqld/mysqld.sock]/?charset=utf8' Access denied for user 'ODBC'@'localhost' (using password: NO) [sql.connect] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:31:05 2018] [10056] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://****@[/var/run/mysqld/mysqld.sock]/?charset=utf8' Access denied for user 'ODBC'@'localhost' (using password: NO) [sql.connect] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:35:33 2018] [1168] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://****@[/var/run/mysqld/mysqld.sock]/?charset=utf8' Access denied for user 'ODBC'@'localhost' (using password: NO) [sql.connect] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:35:33 2018] [1164] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://****@[/var/run/mysqld/mysqld.sock]/?charset=utf8' Access denied for user 'ODBC'@'localhost' (using password: NO) [sql.connect] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:35:33 2018] [11244] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://****@[/var/run/mysqld/mysqld.sock]/?charset=utf8' Access denied for user 'ODBC'@'localhost' (using password: NO) [sql.connect] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:38:49 2018] [7680] /: D:/openServer/domains/catss/./classes/site.p(638:44): 'SELECT id FROM menus WHERE mainpage=1' No database selected [sql.execute] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:40:13 2018] [6936] /: D:/openServer/domains/catss/./classes/site.p(638:44): 'SELECT id FROM menus WHERE mainpage=1' No database selected [sql.execute] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:40:14 2018] [9916] /: D:/openServer/domains/catss/./classes/site.p(638:44): 'SELECT id FROM menus WHERE mainpage=1' No database selected [sql.execute] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:40:15 2018] [10360] /: D:/openServer/domains/catss/./classes/site.p(638:44): 'SELECT id FROM menus WHERE mainpage=1' No database selected [sql.execute] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:40:16 2018] [7768] /: D:/openServer/domains/catss/./classes/site.p(638:44): 'SELECT id FROM menus WHERE mainpage=1' No database selected [sql.execute] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:40:17 2018] [10224] /: D:/openServer/domains/catss/./classes/site.p(638:44): 'SELECT id FROM menus WHERE mainpage=1' No database selected [sql.execute] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:40:17 2018] [11152] /: D:/openServer/domains/catss/./classes/site.p(638:44): 'SELECT id FROM menus WHERE mainpage=1' No database selected [sql.execute] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:40:44 2018] [8292] /: D:/openServer/domains/catss/./classes/site.p(638:44): 'SELECT id FROM menus WHERE mainpage=1' No database selected [sql.execute] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:42:29 2018] [6388] /: D:/openServer/domains/catss/./classes/site.p(638:44): 'SELECT id FROM menus WHERE mainpage=1' No database selected [sql.execute] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:42:30 2018] [4016] /: D:/openServer/domains/catss/./classes/site.p(638:44): 'SELECT id FROM menus WHERE mainpage=1' No database selected [sql.execute] [uri=/, method=GET, cl=0]
